"Data Year","ID","Property Name","Reporting Status","Address","ZIP Code","Chicago Energy Rating","Exempt From Chicago Energy Rating","Community Area","Primary Property Type","Gross Floor Area - Buildings (sq ft)","Year Built","# of Buildings","Water Use (kGal)","ENERGY STAR Score","Electricity Use (kBtu)","Natural Gas Use (kBtu)","District Steam Use (kBtu)","District Chilled Water Use (kBtu)","All Other Fuel Use (kBtu)","Site EUI (kBtu/sq ft)","Source EUI (kBtu/sq ft)","Weather Normalized Site EUI (kBtu/sq ft)","Weather Normalized Source EUI (kBtu/sq ft)","Total GHG Emissions (Metric Tons CO2e)","GHG Intensity (kg CO2e/sq ft)","Latitude","Longitude","Location","Row_ID"
"2022","251399","Park Manor Elementary -CPS","Submitted Data","7037 S Rhodes Ave","60637","3.0","false","GREATER GRAND CROSSING","K-12 School","62,706","1913","1",,"41","1,560,846.7","3,750,579.7","0","0",,"84.7","132.5","87.5","135.4","404.8","6.5","41.76648583637","-87.61150917051","(41.766485836369114, -87.61150917051216)","2022-251399"
"2022","256424","Stuart Building","Not Submitted","10 W 31st Street","60616","0.0","false","DOUGLAS",,"83,906",,,,,,,,,,,,,,,,"41.83840557882","-87.62715545802","(41.838405578816044, -87.62715545802021)","2022-256424"
"2022","254379","City Hyde Park","Submitted Data","5105 S HARPER AVE","60615","4.0","false","Hyde Park","Multifamily Housing","613,970","2015","1",,"87","10,146,864.3","13,664,952.1","0","0",,"64.7","116.2","65.9","116.9","2,062.3","5.6","41.80226056986","-87.58900434757","(41.80226056986326, -87.58900434757135)","2022-254379"
"2022","251754","Phillip Murray Elementary Academy -CPS","Submitted Data","5335 S Kenwood Ave","60615","1.0","false","HYDE PARK","K-12 School","73,984","1954","3",,"15","2,970,118.6","4,798,959.9","0","0",,"105","180.5","106.3","179.6","646.1","8.7","41.79852500653","-87.59330351653","(41.79852500652537, -87.59330351652744)","2022-251754"
"2022","159661",,"Submitted Data","3101-3121 N Sheridan Rd","60657","1.0","false","LAKE VIEW","Multifamily Housing","205,906","2000","1",,"6","7,846,941.5","22,866,900.1","0","0",,"149.2","223.3","157.1","229.7","2,248.1","10.9","41.93778436615","-87.63932266961","(41.937784366152115, -87.63932266960995)","2022-159661"
"2022","160099","The Peninsula Chicago","Submitted Data","108 E Superior St","60611","1.0","false","NEAR NORTH SIDE","Hotel","410,081","2000","1",,"8","42,031,178","18,827,700","0","0",,"148.4","335.2","148.5","333.8","6,536.1","15.9","41.89583963821","-87.62498814132","(41.89583963820686, -87.62498814131581)","2022-160099"
"2022","251387","Woodson South -CPS","Exempt","4414 S Evans Ave","60653",,"true","GRAND BOULEVARD",,"71,838",,,,,,,,,,,,,,,,"41.81447954915","-87.60845505139","(41.81447954914745, -87.6084550513942)","2022-251387"
"2022","110854",,"Submitted Data","845  N KINGSBURY","60610","1.0","false","NEAR NORTH SIDE","Multifamily Housing","121,592","2007","1",,"8","3,386,329.1","8,819,741.9","0","0",,"140.5","215.7","141.9","213.1","914.5","10.5","41.89791697401","-87.64313291919","(41.89791697400784, -87.64313291918586)","2022-110854"
"2022","252258","Roosevelt Square II","Submitted Data","1222 W Roosevelt Rd","60608","2.0","false","NEAR WEST SIDE","Multifamily Housing","173,645","2005","1",,"44","6,236,684.1","7,131,042.2","0","0",,"77","143.7","78.4","143.3","1,200.2","6.9","41.86709034875","-87.65767338132","(41.86709034875197, -87.6576733813155)","2022-252258"
"2022","160211","Hyatt Chicago Magnificent Mile","Submitted Data","633 N St Clair St","60611","4.0","false","NEAR NORTH SIDE","Office","632,163","1991","1",,"88","23,351,731.5","14,936.4","0","0",,"37","103.5","36.4","101.9","3,076.5","4.9","41.8934753577","-87.62257467358","(41.89347535770077, -87.6225746735784)","2022-160211"
